Anio,Aereo,Apa Qui,Autoconsumos,Autoproductores,Autoconsumos Energía,Bunker,Canales Informales,CF Agropecuario,CF Comercial & Publico,CF Construcciones,CF Industrial,Cf No Identi,Cod Energetico,Con Final,Con No Ener,Con Pro Elec,Con Pro Hidro,Con Pro Hid Extr,Con Pro Hid Mer,Coq Rf,Ct Carboneras,Ct Cen Aut Cog,Ct Cen Elo,Ct Cen Hidro,Ct Cen Plabio,Ct Cen Sol,Ct Cen Ter,Ct Cen Trat,Ct Coquerias,Ct Plan Des,Ct Refinerias,Insumos Transformaciòn,Desc Energetico,Exportaciones,Ext Primaria Prod Trans,Ferroviario,Fluvial,Importacion,No Aprovechados,Oferta Interna Bruta,Oferta Int Con Final,Perdidas,Productos Transformacion,Reinyeccion,Sigla,Tipo Energetico,Total Carretero,Transferencias,Unidades Originales,Var Inventario
2015,0,0,4679.1,0,4679.1,0,0,0,0,0,3795.21,0,17,3795.21,0,0,4679.1,0,0,750.63,0,8474.32,0,0,0,0,0,0,0,0,0,0,AUTO & COGENERACIÓN,0,8474.32,0,0,0,0,3795.21,3795.21,0,8474.32,0,AUT COG,Secundario,0,0,GWh,0
2015,0,0,4023301806,0,4023301806,0,0,0,0,0,3263293207,0,17,3263293207,0,0,4023301806,0,0,6454256234,0,7286603611,0,0,0,0,0,0,0,0,0,0,AUTO & COGENERACIÓN,0,7286603611,0,0,0,0,3263293207,3263293207,0,7286603611,0,AUT COG,Secundario,0,0,TCal,0
2015,0,0,16844.76,0,16844.76,0,0,0,0,0,13662756,0,17,13662756,0,0,16844.76,0,0,2702268,0,30507552,0,0,0,0,0,0,0,0,0,0,AUTO & COGENERACIÓN,0,30507552,0,0,0,0,13662756,13662756,0,30507552,0,AUT COG,Secundario,0,0,TJ,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-116.52,0,-48451.3,0,0,0,0,0,0,0,48567.82,HIDROENERGÍA,0,48015.24,0,0,0,0,48451.3,-116.52,883.49,0,0,HE,Primario,0,0,GWh,-1319.56
2015,0,0.85,0,0,0,0,0,0,0,0,99.53,0,15,99.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.4,0,0,0,COQUE,1916.87,2016.4,0,0,0,0,99.53,99.53,0,2016.4,0,CQ,Secundario,0,0,kTon,0
2015,0,187.9,2045.53,0,2045.53,0,0,588.73,13063.63,93.28,11721.42,4881.86,18,56970.18,0,2045.53,0,0,0,159.07,0,526.19,68.38,44681.9,0,0,21272.01,0,0,0,0,0,ENERGÍA ELECTRICA SIN,459.84,66548.47,91.22,0,45.19,0,56970.18,56970.18,7118.11,66548.47,0,EE SIN,Secundario,0,0,GWh,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-100189166,0,-4166061909,0,0,0,0,0,0,0,4176080825,HIDROENERGÍA,0,4128567498,0,0,0,0,4166061909,-100189166,7596646604,0,0,HE,Primario,0,0,TCal,-1134617369
2015,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-419.472,0,-174424.68,0,0,0,0,0,0,0,174844152,HIDROENERGÍA,0,172854864,0,0,0,0,174424.68,-419.472,3180564,0,0,HE,Primario,0,0,TJ,-4750416
2015,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-100189166,0,-4166061909,0,0,0,0,0,0,0,4176080825,HIDROENERGÍA,0,4128567498,0,0,0,0,4166061909,-100189166,7596646604,0,0,HE,Primario,0,0,KTEP,-1134617369
2015,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-3975826876,0,-1653226748,0,0,0,0,0,0,0,1657202575,HIDROENERGÍA,0,1638347765,0,0,0,0,1653226748,-3975826876,301459259,0,0,HE,Primario,0,0,GBTU,-4502524984
2015,0,0,0,0,0,0,0,839.8,0,0,11.34,0,5,7813.52,0,0,0,0,0,0.66,-159.02,0,0,0,0,0,0,0,0,0,0,159.02,Leña,0.03,7972.53,0,0,0,0,7972.5,7813.48,0,0,0,LE,Primario,0,0,kTon,0
2015,0,0,0,0,0,0,0,3408593734,0,0,4602697421,0,5,3171364053,0,0,0,0,0,2678818605,-6454329312,0,0,0,0,0,0,0,0,0,0,6454329312,Leña,0.121764482,3235903287,0,0,0,0,323589111,3171347817,0,0,0,LE,Primario,0,0,TCal,0
2015,0,0,0,0,0,0,0,1427110025,0,0,1927057356,0,5,1327786702,0,0,0,0,0,1121567774,-2702298596,0,0,0,0,0,0,0,0,0,0,2702298596,Leña,0.509803533,1354807988,0,0,0,0,135480289,1327779904,0,0,0,LE,Primario,0,0,TJ,0
2015,0,0,0,0,0,0,0,3964194513,0,0,5352937101,0,5,3688296393,0,0,0,0,0,3115466038,-7506384989,0,0,0,0,0,0,0,0,0,0,7506384989,Leña,0.141612093,3763355523,0,0,0,0,3763341361,3688277511,0,0,0,LE,Primario,0,0,GWh,0
2015,0,0,0,0,0,0,0,3408593734,0,0,4602697421,0,5,3171364053,0,0,0,0,0,0.267881861,-6454329312,0,0,0,0,0,0,0,0,0,0,6454329312,Leña,0.012176448,3235903287,0,0,0,0,323589111,3171347817,0,0,0,LE,Primario,0,0,KTEP,0
2015,0,0,0,0,0,0,0,1352639125,0,0,1826497699,0,5,1258498792,0,0,0,0,0,1063040989,-2561284516,0,0,0,0,0,0,0,0,0,0,2561284516,Leña,0.483200449,1284110027,0,0,0,0,1284105195,1258492349,0,0,0,LE,Primario,0,0,GBTU,0
2015,0,0,0,0,0,0,0,0,0,0,60.33,0,6,60.33,0,0,0,0,0,0,0,-1651.47,0,0,0,0,0,0,0,0,-89053.7,90705.17,PETROLEO,288486.77,367034.67,0,0,0.12,0,90775.44,70.26,0,0,0,PT,Primario,0,12227.42,kBL,0
2015,0,0,0,0,0,0,0,0,0,0,8771358019,0,6,8771358019,0,0,0,0,0,0,0,-2401066572,0,0,0,0,0,0,0,0,-1294748692,1318759357,PETROLEO,419429926,5336304485,0,0,0.174467589,0,131978101,1021507731,0,0,0,PT,Primario,0,1777740402,TCal,0
2015,0,0,0,0,0,0,0,0,0,0,3672392175,0,6,3672392175,0,0,0,0,0,0,0,-1005278552,0,0,0,0,0,0,0,0,-5420853822,5521381677,PETROLEO,1756069214,2234203962,0,0,0.7304609,0,5525659134,427684857,0,0,0,PT,Primario,0,7443043516,TJ,0
2015,0,4080682144,0,0,0,0,0,0,0,0,477823875,0,15,477823875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9680338206,0,0,0,COQUE,9202514331,9680338206,0,0,0,0,477823875,477823875,0,9680338206,0,CQ,Secundario,0,0,TCal,0
2015,0,17.085,0,0,0,0,0,0,0,0,2000553,0,15,2000553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40529.64,0,0,0,COQUE,38529087,40529.64,0,0,0,0,2000553,2000553,0,40529.64,0,CQ,Secundario,0,0,TJ,0
2015,0,4745833333,0,0,0,0,0,0,0,0,5557091667,0,15,5557091667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125823333,0,0,0,COQUE,1070252417,1125823333,0,0,0,0,5557091667,5557091667,0,1125823333,0,CQ,Secundario,0,0,GWh,0
2015,0,0.408068214,0,0,0,0,0,0,0,0,477823875,0,15,477823875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9680338206,0,0,0,COQUE,9202514331,9680338206,0,0,0,0,477823875,477823875,0,9680338206,0,CQ,Secundario,0,0,KTEP,0
2015,0,0,0,0,0,0,0,0,0,0,1020108938,0,6,1020108938,0,0,0,0,0,0,0,-2792440423,0,0,0,0,0,0,0,0,-1505792728,1533717132,PETROLEO,4877970039,6206122116,0,0,0.202905806,0,1534905315,1188013492,0,0,0,PT,Primario,0,2067512088,GWh,0
2015,0,0,0,0,0,0,0,0,0,0,8771358019,0,6,8771358019,0,0,0,0,0,0,0,-2401066572,0,0,0,0,0,0,0,0,-1294748692,1318759357,PETROLEO,419429926,5336304485,0,0,0.017446759,0,131978101,1021507732,0,0,0,PT,Primario,0,1777740402,KTEP,0
2015,0,0,0,0,0,0,0,0,0,0,348075569,0,6,348075569,0,0,0,0,0,0,0,-9528200894,0,0,0,0,0,0,0,0,-5137977341,523325935,PETROLEO,1664432233,2117616469,0,0,0.69234325,0,5237313597,405366973,0,0,0,PT,Primario,0,7054643086,GBTU,0
